N,Success Rate,Average Steps,Median Steps,Running Time,Average Conflicts Upon Failure,Average Steps to Best Upon Failure,,,,
4,1,5.352941176,5,0.000330673,0,0,,,,
6,0.705882353,28.08333333,27.5,0.004087249,1,3.2,,,,
8,0.9311135,28.3125,21,0.00916785,1,15,,,,
10,0.701326,22,13,0.012696107,1,8.6,,,,
12,1,41.47058824,40,0.037736584,0,0,,,,
14,1,47,35,0.060876159,0,0,,,,
16,1,64.35294118,68,0.111026834,0,0,,,,
18,0.941176471,51.4375,47,0.119218633,1,52,,,,
20,0.925176,50.875,40,0.164763421,1,40,,,,
22,1,61.70588235,56,0.25479126,0,0,,,,s
24,1,83.29411765,69,0.429395143,0,0,,,,
26,1,63.35294118,51,0.409130896,0,0,,,,
28,1,70.58823529,75,0.562379627,0,0,,,,
30,1,80.05882353,63,0.767745817,0,0,,,,
32,1,66.35294118,60,0.769950937,0,0,,,,
34,1,70.05882353,58,0.969338922,0,0,,,,
36,1,69.23529412,62,1.141772873,0,0,,,,
38,1,86.82352941,71,1.818229227,0,0,,,,
40,1,75.41176471,66,1.955538848,0,0,,,,
50,1,86.82352941,77,4.218598562,0,0,,,,
60,1,95.70588235,81,15.12624738,0,0,,,,
,,,,,,,,,,
